id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
1,2057,702,0.745560,0.254440,2759
2,963,397,0.708088,0.291912,1360
3,136832,108436,0.557888,0.442112,245268
4,3393,952,0.780898,0.219102,4345
5,128,87,0.595349,0.404651,215
6,657,275,0.704936,0.295064,932
7,3165,1520,0.675560,0.324440,4685
8,133,100,0.570815,0.429185,233
8202,3,12,0.200000,0.800000,15
8205,45,19,0.703125,0.296875,64
15,5,1,0.833333,0.166667,6
8208,1,0,1.000000,0.000000,1
8211,6,2,0.750000,0.250000,8
8212,6,10,0.375000,0.625000,16
8213,1,14,0.066667,0.933333,15
8214,481,152,0.759874,0.240126,633
24,550,379,0.592034,0.407966,929
25,6,0,1.000000,0.000000,6
26,179,92,0.660517,0.339483,271
34,28,17,0.622222,0.377778,45
8229,3,22,0.120000,0.880000,25
8238,0,1,0.000000,1.000000,1
8240,10,3,0.769231,0.230769,13
53,3,10,0.230769,0.769231,13
8246,11,13,0.458333,0.541667,24
55,148,183,0.447130,0.552870,331
8255,3,4,0.428571,0.571429,7
8256,86,60,0.589041,0.410959,146
8257,32,14,0.695652,0.304348,46
8259,71,82,0.464052,0.535948,153
70,8,1,0.888889,0.111111,9
8264,1,39,0.025000,0.975000,40
73,2,6,0.250000,0.750000,8
8276,16,40,0.285714,0.714286,56
8277,0,1,0.000000,1.000000,1
8278,167,28,0.856410,0.143590,195
8279,58,126,0.315217,0.684783,184
88,2,2,0.500000,0.500000,4
8282,74,114,0.393617,0.606383,188
91,436,233,0.651719,0.348281,669
8286,30,77,0.280374,0.719626,107
97,980,315,0.756757,0.243243,1295
8290,75,94,0.443787,0.556213,169
8291,1,22,0.043478,0.956522,23
100,769,291,0.725472,0.274528,1060
8293,8,2,0.800000,0.200000,10
8296,1,12,0.076923,0.923077,13
105,564,448,0.557312,0.442688,1012
107,170,52,0.765766,0.234234,222
8300,1,0,1.000000,0.000000,1
8302,78,93,0.456140,0.543860,171
8303,1,1,0.500000,0.500000,2
112,284,73,0.795518,0.204482,357
113,1,0,1.000000,0.000000,1
8306,4,11,0.266667,0.733333,15
8309,1,0,1.000000,0.000000,1
8311,23,8,0.741935,0.258065,31
8312,4,5,0.444444,0.555556,9
124,6,2,0.750000,0.250000,8
126,2,0,1.000000,0.000000,2
128,5,5,0.500000,0.500000,10
8321,1,0,1.000000,0.000000,1
