id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
8202,3,12,0.200000,0.800000,15
8205,45,19,0.703125,0.296875,64
15,5,1,0.833333,0.166667,6
8208,1,0,1.000000,0.000000,1
8211,6,2,0.750000,0.250000,8
8212,6,10,0.375000,0.625000,16
8213,1,14,0.066667,0.933333,15
25,6,0,1.000000,0.000000,6
34,28,17,0.622222,0.377778,45
8229,3,22,0.120000,0.880000,25
8238,0,1,0.000000,1.000000,1
8240,10,3,0.769231,0.230769,13
53,3,10,0.230769,0.769231,13
8246,11,13,0.458333,0.541667,24
8255,3,4,0.428571,0.571429,7
8257,32,14,0.695652,0.304348,46
70,8,1,0.888889,0.111111,9
8264,1,39,0.025000,0.975000,40
73,2,6,0.250000,0.750000,8
8276,16,40,0.285714,0.714286,56
8277,0,1,0.000000,1.000000,1
88,2,2,0.500000,0.500000,4
8286,30,77,0.280374,0.719626,107
8291,1,22,0.043478,0.956522,23
8293,8,2,0.800000,0.200000,10
8296,1,12,0.076923,0.923077,13
8300,1,0,1.000000,0.000000,1
8303,1,1,0.500000,0.500000,2
113,1,0,1.000000,0.000000,1
8306,4,11,0.266667,0.733333,15
8309,1,0,1.000000,0.000000,1
8311,23,8,0.741935,0.258065,31
8312,4,5,0.444444,0.555556,9
124,6,2,0.750000,0.250000,8
126,2,0,1.000000,0.000000,2
128,5,5,0.500000,0.500000,10
8321,1,0,1.000000,0.000000,1
8322,1,1,0.500000,0.500000,2
8325,0,3,0.000000,1.000000,3
136,9,2,0.818182,0.181818,11
141,17,18,0.485714,0.514286,35
143,19,11,0.633333,0.366667,30
8338,4,0,1.000000,0.000000,4
8339,1,0,1.000000,0.000000,1
9582,20,18,0.526316,0.473684,38
8217,1,0,1.000000,0.000000,1
8344,5,1,0.833333,0.166667,6
154,13,10,0.565217,0.434783,23
156,8,1,0.888889,0.111111,9
161,20,32,0.384615,0.615385,52
8357,1,1,0.500000,0.500000,2
167,70,30,0.700000,0.300000,100
8367,23,42,0.353846,0.646154,65
180,1,3,0.250000,0.750000,4
8373,5,12,0.294118,0.705882,17
8378,1,0,1.000000,0.000000,1
8380,6,1,0.857143,0.142857,7
8386,3,1,0.750000,0.250000,4
8403,1,0,1.000000,0.000000,1
217,10,6,0.625000,0.375000,16
221,1,0,1.000000,0.000000,1
8414,36,14,0.720000,0.280000,50
8434,11,9,0.550000,0.450000,20
8435,2,2,0.500000,0.500000,4
8439,5,8,0.384615,0.615385,13
8446,0,3,0.000000,1.000000,3
8464,1,0,1.000000,0.000000,1
8468,8,10,0.444444,0.555556,18
8469,1,0,1.000000,0.000000,1
8470,6,5,0.545455,0.454545,11
8473,4,0,1.000000,0.000000,4
8478,1,17,0.055556,0.944444,18
287,30,14,0.681818,0.318182,44
290,1,5,0.166667,0.833333,6
8489,4,4,0.500000,0.500000,8
8493,1,0,1.000000,0.000000,1
8494,2,5,0.285714,0.714286,7
8495,4,6,0.400000,0.600000,10
8497,6,28,0.176471,0.823529,34
8499,1,10,0.090909,0.909091,11
8505,5,1,0.833333,0.166667,6
8510,18,16,0.529412,0.470588,34
8512,4,1,0.800000,0.200000,5
8513,17,12,0.586207,0.413793,29
8514,13,83,0.135417,0.864583,96
8247,46,47,0.494624,0.505376,93
335,49,52,0.485149,0.514851,101
8533,15,17,0.468750,0.531250,32
10377,4,0,1.000000,0.000000,4
8537,1,4,0.200000,0.800000,5
351,2,8,0.200000,0.800000,10
8545,7,2,0.777778,0.222222,9
356,7,8,0.466667,0.533333,15
8557,1,3,0.250000,0.750000,4
8564,1,1,0.500000,0.500000,2
8575,1,0,1.000000,0.000000,1
8576,50,19,0.724638,0.275362,69
8578,1,19,0.050000,0.950000,20
8582,1,1,0.500000,0.500000,2
8586,1,2,0.333333,0.666667,3
395,38,15,0.716981,0.283019,53
396,8,5,0.615385,0.384615,13
8596,1,0,1.000000,0.000000,1
8601,74,20,0.787234,0.212766,94
8603,15,4,0.789474,0.210526,19
8607,9,6,0.600000,0.400000,15
8262,1,0,1.000000,0.000000,1
427,0,1,0.000000,1.000000,1
428,10,24,0.294118,0.705882,34
8622,13,31,0.295455,0.704545,44
8623,13,41,0.240741,0.759259,54
8627,1,0,1.000000,0.000000,1
438,2,1,0.666667,0.333333,3
8632,1,0,1.000000,0.000000,1
449,6,2,0.750000,0.250000,8
8642,37,32,0.536232,0.463768,69
452,22,8,0.733333,0.266667,30
8646,53,46,0.535354,0.464646,99
8651,39,54,0.419355,0.580645,93
8660,3,2,0.600000,0.400000,5
8669,6,7,0.461538,0.538462,13
8670,2,3,0.400000,0.600000,5
8674,18,51,0.260870,0.739130,69
8687,8,4,0.666667,0.333333,12
8689,6,9,0.400000,0.600000,15
8690,32,12,0.727273,0.272727,44
8700,0,1,0.000000,1.000000,1
512,4,0,1.000000,0.000000,4
8718,1,5,0.166667,0.833333,6
532,10,13,0.434783,0.565217,23
8725,1,18,0.052632,0.947368,19
8726,1,6,0.142857,0.857143,7
537,1,0,1.000000,0.000000,1
8732,33,5,0.868421,0.131579,38
8736,62,49,0.558559,0.441441,111
9648,11,8,0.578947,0.421053,19
8740,1,2,0.333333,0.666667,3
8743,41,1,0.976190,0.023810,42
8745,12,1,0.923077,0.076923,13
8746,17,31,0.354167,0.645833,48
557,1,0,1.000000,0.000000,1
8754,18,20,0.473684,0.526316,38
564,1,0,1.000000,0.000000,1
8758,1,0,1.000000,0.000000,1
8767,54,29,0.650602,0.349398,83
8768,13,25,0.342105,0.657895,38
8770,3,1,0.750000,0.250000,4
8771,7,13,0.350000,0.650000,20
8775,1,6,0.142857,0.857143,7
8776,50,26,0.657895,0.342105,76
8777,86,28,0.754386,0.245614,114
8779,2,1,0.666667,0.333333,3
8782,13,2,0.866667,0.133333,15
8784,36,4,0.900000,0.100000,40
8792,2,6,0.250000,0.750000,8
8794,9,2,0.818182,0.181818,11
8802,40,11,0.784314,0.215686,51
9660,31,7,0.815789,0.184211,38
8810,7,23,0.233333,0.766667,30
631,4,9,0.307692,0.692308,13
8826,2,2,0.500000,0.500000,4
8829,49,28,0.636364,0.363636,77
8831,8,7,0.533333,0.466667,15
8832,6,1,0.857143,0.142857,7
8833,1,1,0.500000,0.500000,2
8844,49,7,0.875000,0.125000,56
8845,1,0,1.000000,0.000000,1
8856,1,0,1.000000,0.000000,1
8857,6,1,0.857143,0.142857,7
8859,11,28,0.282051,0.717949,39
8861,33,12,0.733333,0.266667,45
8863,77,12,0.865169,0.134831,89
8864,0,1,0.000000,1.000000,1
8866,15,23,0.394737,0.605263,38
8872,1,7,0.125000,0.875000,8
681,9,36,0.200000,0.800000,45
8876,3,6,0.333333,0.666667,9
114,1,2,0.333333,0.666667,3
8881,2,0,1.000000,0.000000,2
8888,4,43,0.085106,0.914894,47
8889,15,74,0.168539,0.831461,89
8890,34,74,0.314815,0.685185,108
8893,1,3,0.250000,0.750000,4
8895,56,34,0.622222,0.377778,90
8910,2,5,0.285714,0.714286,7
8911,38,12,0.760000,0.240000,50
8912,1,0,1.000000,0.000000,1
8922,2,0,1.000000,0.000000,2
8925,0,1,0.000000,1.000000,1
736,4,4,0.500000,0.500000,8
8930,74,42,0.637931,0.362069,116
740,2,0,1.000000,0.000000,2
745,6,2,0.750000,0.250000,8
8939,1,0,1.000000,0.000000,1
752,28,60,0.318182,0.681818,88
8318,32,9,0.780488,0.219512,41
8952,7,4,0.636364,0.363636,11
8954,14,4,0.777778,0.222222,18
8959,0,1,0.000000,1.000000,1
8962,1,0,1.000000,0.000000,1
8964,1,11,0.083333,0.916667,12
8970,10,1,0.909091,0.090909,11
8979,2,8,0.200000,0.800000,10
8984,18,21,0.461538,0.538462,39
794,5,8,0.384615,0.615385,13
8992,1,0,1.000000,0.000000,1
8994,2,3,0.400000,0.600000,5
8996,32,71,0.310680,0.689320,103
8997,2,1,0.666667,0.333333,3
9000,1,1,0.500000,0.500000,2
8328,18,7,0.720000,0.280000,25
9013,1,0,1.000000,0.000000,1
829,4,3,0.571429,0.428571,7
9024,0,15,0.000000,1.000000,15
838,67,21,0.761364,0.238636,88
842,15,2,0.882353,0.117647,17
845,2,1,0.666667,0.333333,3
9044,10,10,0.500000,0.500000,20
9045,0,3,0.000000,1.000000,3
10667,1,1,0.500000,0.500000,2
864,2,2,0.500000,0.500000,4
144,18,7,0.720000,0.280000,25
9059,5,26,0.161290,0.838710,31
9060,1,0,1.000000,0.000000,1
9062,11,48,0.186441,0.813559,59
9063,1,1,0.500000,0.500000,2
9064,41,13,0.759259,0.240741,54
9067,1,10,0.090909,0.909091,11
9068,4,2,0.666667,0.333333,6
9073,13,8,0.619048,0.380952,21
882,7,14,0.333333,0.666667,21
9076,7,1,0.875000,0.125000,8
9077,1,0,1.000000,0.000000,1
9083,1,0,1.000000,0.000000,1
894,23,26,0.469388,0.530612,49
9089,2,4,0.333333,0.666667,6
901,3,3,0.500000,0.500000,6
904,25,12,0.675676,0.324324,37
905,9,6,0.600000,0.400000,15
9098,48,26,0.648649,0.351351,74
9100,11,53,0.171875,0.828125,64
9101,48,30,0.615385,0.384615,78
9111,16,1,0.941176,0.058824,17
927,13,17,0.433333,0.566667,30
9122,1,0,1.000000,0.000000,1
931,1,1,0.500000,0.500000,2
9126,18,16,0.529412,0.470588,34
935,11,8,0.578947,0.421053,19
936,4,1,0.800000,0.200000,5
9129,2,1,0.666667,0.333333,3
941,3,4,0.428571,0.571429,7
9139,4,3,0.571429,0.428571,7
951,27,8,0.771429,0.228571,35
9145,0,1,0.000000,1.000000,1
9146,1,0,1.000000,0.000000,1
9717,64,49,0.566372,0.433628,113
961,4,1,0.800000,0.200000,5
9166,1,0,1.000000,0.000000,1
979,62,52,0.543860,0.456140,114
9173,9,34,0.209302,0.790698,43
9180,20,8,0.714286,0.285714,28
998,9,10,0.473684,0.526316,19
9191,14,3,0.823529,0.176471,17
9192,1,1,0.500000,0.500000,2
1004,80,35,0.695652,0.304348,115
1007,52,52,0.500000,0.500000,104
9200,16,2,0.888889,0.111111,18
1009,29,11,0.725000,0.275000,40
1011,9,9,0.500000,0.500000,18
9204,1,7,0.125000,0.875000,8
9726,0,2,0.000000,1.000000,2
9208,0,1,0.000000,1.000000,1
9209,11,5,0.687500,0.312500,16
9214,28,51,0.354430,0.645570,79
1026,2,1,0.666667,0.333333,3
9223,10,15,0.400000,0.600000,25
9225,41,50,0.450549,0.549451,91
9227,18,1,0.947368,0.052632,19
1037,1,0,1.000000,0.000000,1
1038,26,12,0.684211,0.315789,38
9234,27,12,0.692308,0.307692,39
9236,10,8,0.555556,0.444444,18
1049,20,11,0.645161,0.354839,31
1053,2,8,0.200000,0.800000,10
1054,72,41,0.637168,0.362832,113
9248,1,17,0.055556,0.944444,18
9249,10,1,0.909091,0.090909,11
9253,1,2,0.333333,0.666667,3
1063,50,29,0.632911,0.367089,79
9257,10,1,0.909091,0.090909,11
9259,2,1,0.666667,0.333333,3
1073,12,6,0.666667,0.333333,18
9268,34,28,0.548387,0.451613,62
9272,3,1,0.750000,0.250000,4
1082,67,18,0.788235,0.211765,85
9276,6,1,0.857143,0.142857,7
9277,5,11,0.312500,0.687500,16
9278,2,4,0.333333,0.666667,6
1091,45,15,0.750000,0.250000,60
9295,1,12,0.076923,0.923077,13
9300,0,6,0.000000,1.000000,6
9303,1,0,1.000000,0.000000,1
1112,8,0,1.000000,0.000000,8
9311,6,18,0.250000,0.750000,24
9318,17,1,0.944444,0.055556,18
1127,1,8,0.111111,0.888889,9
9320,8,17,0.320000,0.680000,25
9332,1,0,1.000000,0.000000,1
9335,9,33,0.214286,0.785714,42
9339,1,2,0.333333,0.666667,3
1155,86,30,0.741379,0.258621,116
9349,1,4,0.200000,0.800000,5
9350,5,0,1.000000,0.000000,5
9352,4,1,0.800000,0.200000,5
9355,1,1,0.500000,0.500000,2
9356,1,2,0.333333,0.666667,3
9359,0,16,0.000000,1.000000,16
9363,2,17,0.105263,0.894737,19
9364,70,15,0.823529,0.176471,85
9366,31,43,0.418919,0.581081,74
1175,5,2,0.714286,0.285714,7
1176,1,5,0.166667,0.833333,6
1177,33,27,0.550000,0.450000,60
9375,1,1,0.500000,0.500000,2
1184,3,1,0.750000,0.250000,4
9377,1,2,0.333333,0.666667,3
1188,11,1,0.916667,0.083333,12
9383,20,6,0.769231,0.230769,26
9386,4,2,0.666667,0.333333,6
9387,68,33,0.673267,0.326733,101
9392,2,0,1.000000,0.000000,2
9396,4,1,0.800000,0.200000,5
9407,3,2,0.600000,0.400000,5
9409,9,25,0.264706,0.735294,34
9410,9,10,0.473684,0.526316,19
9411,1,1,0.500000,0.500000,2
9412,25,91,0.215517,0.784483,116
9415,8,6,0.571429,0.428571,14
9416,0,10,0.000000,1.000000,10
9426,1,3,0.250000,0.750000,4
9429,1,1,0.500000,0.500000,2
9431,26,9,0.742857,0.257143,35
1253,13,6,0.684211,0.315789,19
8401,2,11,0.153846,0.846154,13
9448,1,0,1.000000,0.000000,1
9449,28,68,0.291667,0.708333,96
9454,17,6,0.739130,0.260870,23
9455,1,12,0.076923,0.923077,13
1269,10,14,0.416667,0.583333,24
1271,2,4,0.333333,0.666667,6
9466,1,2,0.333333,0.666667,3
9473,5,2,0.714286,0.285714,7
9475,1,0,1.000000,0.000000,1
9480,2,0,1.000000,0.000000,2
9483,6,10,0.375000,0.625000,16
9485,11,9,0.550000,0.450000,20
