ReviewId,PerOfCur,PerOfIncur
1002160,0.600000,0.700000
1002161,1.000000,0.500000
1002169,0.600000,0.500000
1001572,0.000000,0.800000
1002176,0.600000,0.700000
1001616,0.600000,0.600000
1001623,0.400000,0.200000
1002184,1.000000,0.900000
1001682,0.900000,0.600000
1001697,0.900000,0.700000
1002279,0.600000,0.800000
1001740,0.500000,0.800000
1001746,0.600000,0.600000
1002144,0.600000,0.400000
1001764,0.200000,0.500000
1001768,0.500000,0.500000
1001775,0.700000,0.400000
1001796,0.500000,0.800000
1001836,0.800000,0.600000
1001846,0.600000,0.700000
1001857,1.000000,0.600000
1002219,0.800000,0.700000
1001895,0.200000,0.900000
1001931,0.600000,0.700000
1002232,0.600000,0.500000
1001949,0.200000,0.300000
1001953,0.500000,0.800000
1001967,0.800000,0.600000
1001975,0.900000,0.800000
1001982,0.500000,1.000000
1001984,0.400000,0.300000
1002152,0.800000,0.600000
1002006,0.500000,0.900000
1002289,1.000000,0.700000
1002031,1.000000,0.900000
1000003,0.500000,0.600000
1000004,0.300000,0.400000
1000005,0.200000,0.600000
1000006,0.600000,0.900000
1000007,0.500000,0.500000
1000008,0.600000,0.700000
1000009,0.500000,0.200000
1000010,0.300000,0.700000
1000011,0.600000,0.600000
1000012,0.800000,0.800000
1000013,0.700000,0.600000
1000014,0.500000,0.800000
1000015,0.700000,0.400000
1000016,0.400000,0.400000
1000017,0.900000,0.800000
1000018,0.600000,0.600000
1000019,0.600000,0.500000
1000020,0.500000,0.500000
1000022,0.500000,0.700000
1000023,0.500000,0.700000
1000024,0.500000,0.200000
1000026,0.400000,0.500000
1000027,0.700000,0.700000
1000028,0.500000,0.200000
1000029,0.800000,0.300000
1000030,0.800000,0.800000
1000032,0.900000,0.500000
1000033,0.600000,0.800000
1000034,0.700000,0.400000
1000035,0.700000,0.800000
1000036,0.800000,0.600000
1000037,0.700000,1.000000
1000039,0.500000,0.700000
1000040,0.600000,0.400000
1000041,0.600000,0.500000
1000043,0.700000,0.600000
1000045,0.600000,0.800000
1000046,0.800000,0.400000
1000049,0.200000,0.900000
1000050,0.700000,0.600000
1000052,0.600000,0.600000
1000053,0.700000,0.300000
1000054,0.700000,0.600000
1000055,0.800000,0.900000
1000057,0.800000,0.500000
1000061,0.600000,0.900000
1000063,0.600000,0.300000
1000064,0.200000,0.800000
1000065,0.700000,0.700000
1000066,0.700000,0.500000
1000068,0.800000,0.300000
1000070,0.700000,0.300000
1000071,0.300000,0.400000
1000073,0.600000,0.500000
1000074,0.600000,0.600000
1000075,0.500000,0.600000
1000077,0.600000,0.600000
1000078,0.500000,0.400000
1002128,0.800000,0.600000
1000082,0.800000,0.800000
1000083,0.600000,0.200000
1000084,1.000000,0.300000
1000085,0.900000,0.900000
