id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur
1002496,4,0,1.000000,0.000000
1001480,8,8,0.500000,0.500000
1001491,1,0,1.000000,0.000000
1002160,36,17,0.679245,0.320755
1002161,26,7,0.787879,0.212121
1001516,3,3,0.500000,0.500000
1002341,2,10,0.166667,0.833333
1001530,2,1,0.666667,0.333333
1002273,3,0,1.000000,0.000000
1001538,4,4,0.500000,0.500000
1002167,5,2,0.714286,0.285714
1001549,10,8,0.555556,0.444444
1001554,9,6,0.600000,0.400000
1001556,0,2,0.000000,1.000000
1002169,2001,952,0.677616,0.322384
1001566,2,0,1.000000,0.000000
1001567,2,0,1.000000,0.000000
1001572,138,93,0.597403,0.402597
1002172,1,0,1.000000,0.000000
1002174,0,2,0.000000,1.000000
1002176,135,59,0.695876,0.304124
1002859,0,2,0.000000,1.000000
1001604,8,2,0.800000,0.200000
1001611,3,0,1.000000,0.000000
1001612,14,0,1.000000,0.000000
1001616,29,11,0.725000,0.275000
1002520,2,0,1.000000,0.000000
1001619,2,3,0.400000,0.600000
1001623,45,21,0.681818,0.318182
1002180,4,0,1.000000,0.000000
1002182,2,0,1.000000,0.000000
1002866,6,0,1.000000,0.000000
1002184,151,40,0.790576,0.209424
1001653,8,0,1.000000,0.000000
1001656,3,2,0.600000,0.400000
1001661,2,0,1.000000,0.000000
1001663,2,0,1.000000,0.000000
1002528,2,1,0.666667,0.333333
1001505,2,1,0.666667,0.333333
1001682,68,16,0.809524,0.190476
1001690,4,1,0.800000,0.200000
1002191,1,0,1.000000,0.000000
1001692,3,0,1.000000,0.000000
1001697,44,16,0.733333,0.266667
1002279,14,6,0.700000,0.300000
1001716,1,0,1.000000,0.000000
1002576,4,0,1.000000,0.000000
1001740,17,13,0.566667,0.433333
1002280,6,8,0.428571,0.571429
1001746,17,8,0.680000,0.320000
1002144,10,12,0.454545,0.545455
1001764,9,19,0.321429,0.678571
1001768,12,15,0.444444,0.555556
1002281,2,0,1.000000,0.000000
1001775,271,100,0.730458,0.269542
1002145,2,1,0.666667,0.333333
1001796,35,18,0.660377,0.339623
1002209,2,0,1.000000,0.000000
1001802,2,0,1.000000,0.000000
1002211,2,0,1.000000,0.000000
1002553,2,0,1.000000,0.000000
1002215,4,0,1.000000,0.000000
1001836,20,10,0.666667,0.333333
1001840,9,4,0.692308,0.307692
1001846,51,25,0.671053,0.328947
1001854,0,2,0.000000,1.000000
1001857,102,69,0.596491,0.403509
1002219,245,96,0.718475,0.281525
1001871,2,0,1.000000,0.000000
1001877,3,3,0.500000,0.500000
1002223,6,4,0.600000,0.400000
1002224,2,1,0.666667,0.333333
1002907,2,0,1.000000,0.000000
1001892,4,2,0.666667,0.333333
1001895,25,18,0.581395,0.418605
1001896,2,0,1.000000,0.000000
1002909,2,1,0.666667,0.333333
1001910,2,1,0.666667,0.333333
1001911,7,12,0.368421,0.631579
1001912,0,1,0.000000,1.000000
1002286,6,0,1.000000,0.000000
1001931,118,106,0.526786,0.473214
1002232,46,39,0.541176,0.458824
1001942,2,3,0.400000,0.600000
1001943,0,1,0.000000,1.000000
1001945,2,0,1.000000,0.000000
1001946,6,2,0.750000,0.250000
1001949,16,25,0.390244,0.609756
1001953,43,50,0.462366,0.537634
1001962,0,2,0.000000,1.000000
1001963,2,0,1.000000,0.000000
1001966,7,4,0.636364,0.363636
1001967,322,209,0.606403,0.393597
1001971,2,0,1.000000,0.000000
1001973,9,0,1.000000,0.000000
1001975,49,12,0.803279,0.196721
1001980,1,7,0.125000,0.875000
1001982,115,33,0.777027,0.222973
1001984,52,41,0.559140,0.440860
1001987,4,0,1.000000,0.000000
1001991,2,0,1.000000,0.000000
1001994,12,4,0.750000,0.250000
1002152,64,18,0.780488,0.219512
1002000,6,0,1.000000,0.000000
1002001,1,0,1.000000,0.000000
1002006,232,174,0.571429,0.428571
1002008,2,0,1.000000,0.000000
1002009,2,2,0.500000,0.500000
1002012,9,0,1.000000,0.000000
1002289,79,25,0.759615,0.240385
1002221,2,0,1.000000,0.000000
1002021,1,0,1.000000,0.000000
1002588,3,0,1.000000,0.000000
1002031,155,60,0.720930,0.279070
