id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
1002496,4,0,1.000000,0.000000,4
1001480,8,8,0.500000,0.500000,16
1001491,1,0,1.000000,0.000000,1
1002160,36,17,0.679245,0.320755,53
1002161,26,7,0.787879,0.212121,33
1001516,3,3,0.500000,0.500000,6
1002341,2,10,0.166667,0.833333,12
1001530,2,1,0.666667,0.333333,3
1002273,3,0,1.000000,0.000000,3
1001538,4,4,0.500000,0.500000,8
1002167,5,2,0.714286,0.285714,7
1001549,10,8,0.555556,0.444444,18
1001554,9,6,0.600000,0.400000,15
1001556,0,2,0.000000,1.000000,2
1001566,2,0,1.000000,0.000000,2
1001567,2,0,1.000000,0.000000,2
1002172,1,0,1.000000,0.000000,1
1002174,0,2,0.000000,1.000000,2
1002859,0,2,0.000000,1.000000,2
1001604,8,2,0.800000,0.200000,10
1001611,3,0,1.000000,0.000000,3
1001612,14,0,1.000000,0.000000,14
1001616,29,11,0.725000,0.275000,40
1002520,2,0,1.000000,0.000000,2
1001619,2,3,0.400000,0.600000,5
1001623,45,21,0.681818,0.318182,66
1002180,4,0,1.000000,0.000000,4
1002182,2,0,1.000000,0.000000,2
1002866,6,0,1.000000,0.000000,6
1001653,8,0,1.000000,0.000000,8
1001656,3,2,0.600000,0.400000,5
1001661,2,0,1.000000,0.000000,2
1001663,2,0,1.000000,0.000000,2
1002528,2,1,0.666667,0.333333,3
1001505,2,1,0.666667,0.333333,3
1001682,68,16,0.809524,0.190476,84
1001690,4,1,0.800000,0.200000,5
1002191,1,0,1.000000,0.000000,1
1001692,3,0,1.000000,0.000000,3
1001697,44,16,0.733333,0.266667,60
1002279,14,6,0.700000,0.300000,20
1001716,1,0,1.000000,0.000000,1
1002576,4,0,1.000000,0.000000,4
1001740,17,13,0.566667,0.433333,30
1002280,6,8,0.428571,0.571429,14
1001746,17,8,0.680000,0.320000,25
1002144,10,12,0.454545,0.545455,22
1001764,9,19,0.321429,0.678571,28
1001768,12,15,0.444444,0.555556,27
1002281,2,0,1.000000,0.000000,2
1002145,2,1,0.666667,0.333333,3
1001796,35,18,0.660377,0.339623,53
1002209,2,0,1.000000,0.000000,2
1001802,2,0,1.000000,0.000000,2
1002211,2,0,1.000000,0.000000,2
1002553,2,0,1.000000,0.000000,2
1002215,4,0,1.000000,0.000000,4
1001836,20,10,0.666667,0.333333,30
1001840,9,4,0.692308,0.307692,13
1001846,51,25,0.671053,0.328947,76
1001854,0,2,0.000000,1.000000,2
1001871,2,0,1.000000,0.000000,2
1001877,3,3,0.500000,0.500000,6
1002223,6,4,0.600000,0.400000,10
1002224,2,1,0.666667,0.333333,3
1002907,2,0,1.000000,0.000000,2
1001892,4,2,0.666667,0.333333,6
1001895,25,18,0.581395,0.418605,43
1001896,2,0,1.000000,0.000000,2
1002909,2,1,0.666667,0.333333,3
1001910,2,1,0.666667,0.333333,3
